gsbC5SWSctg	NA	8504.0	Guts and Heart: Understanding and Overcoming fear with Flynn Disney | EMP Podcast 77
0p47jSSYXZk	NA	8189.0	Answering The Meaning Crisis with Paul Vander Klay and John Vervaeke | EMP Podcast 76
bCA9uiso-DY	NA	8759.0	Christianity Versus The Enlightenment with Paul Vander Klay | EMP Podcast 75
DTO8SfC-OA4	NA	6212.0	The Therapeutic Power of Play with Jackie Wu | EMP Podcast 74
poUIjzaSr28	NA	7820.0	Embodying Virtue with John Vervaeke and Nick Winkelman | EMP Podcast 72
Xj4m_5h7T_I	NA	6250.0	How to Cue a Kangaroo with Joel Smith | EMP Podcast 71
8_2gZHFIE8c	NA	8128.0	Modernity, Christianity and Meaning with Paul Vander Klay EMP Podcast 70
vvwtiRhBzcI	NA	6573.0	Yoga, Parkour and the Love Based Practice with Jeppe Skovgaard | EMP Podcast 69
pO6SZN8QWxs	NA	4506.0	Meaning, Spirituality & Holistic Health with Paul Chek | Part 2 | EMP Podcast Episode 68
ks005g21lFA	NA	5109.0	What is Holistic Health with Paul Chek | Part 1 | EMP Podcast 67
DRHEUc8oEf4	NA	3679.0	Moana, Jordan Peterson and the Divine Feminine with Chloe Valdary | EMP Podcast 66
UZRLbOwexBU	NA	5590.0	The Rise of Sport Parkour with Rene Scavington & Tom Coppola | EMP Podcast 65
2sgcemgnWo4	NA	5631.0	Becoming Unbreakable with Kate Galliett | EMP Podcast 64
NSyXBXqrabw	NA	8112.0	The Tao of Parkour with Sebastien Foucan | EMP Podcast 63
rZnByQSX_jk	NA	6144.0	Can you train less and yet gain more? With Mindful Mover Philip Chubb | EMP Podcast 62
8lt_KFnenyo	NA	5286.0	An Anthropological Look at Human Tree Climbing with George Brill | EMP Podcast 61
WKbb2vmnP0U	NA	6251.0	Exploring the Parkour Roadmap with Max Henry | EMP Podcast 60
Bqsnm7m7Cfs	NA	6104.0	Meaning and Speculative Fiction with John Vervaeke | EMP Podcast 59
5q-UQnuTCiU	NA	5604.0	Cutting Through the Chatter with Nate Weston | EMP Podcast 58
HT6p1inpJBc	NA	5910.0	The Language of Coaching with Nick Winkelman | EMP Podcast 57
T0K8JUMSMfw	NA	4198.0	An Unexpected Hope: Discussing Covid 19 with Spencer Wells | EMP Podcast 56
v7BWSjkpeVY	NA	974.0	Top 10 ways to keep your kids moving during COVID19: EMP VLOG 5
